tarih,sehir,sehir_id,kosu_no,kosu_sira,kazanan_mi,at_id,at_yas,kilo,jokey_id,sahip_id,antrenor_id,derece,ganyan_orani
04/10/2024,Bursa,4,2,3,0,"PONÇİKTAY(4) t 360.000,00 TL KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.",4y a k,56,C.PASO AP Apranti,EKREM BİRDEN,T.KIYAS,2.08.83,31.0
04/10/2024,Bursa,4,2,4,0,"VEZİRKÖPRÜ(8) t 320.000,00 TL KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.",4y k a,54 +1.80 Fazla Kilo,T.ALICI,FERİDUN GÜNDÜZ,N.GÜNDÜZ,2.09.04,7.3
04/10/2024,Bursa,4,2,5,0,"TUĞKANBEY(3) t 360.000,00 TL K Kulaklık takılacağını ifade eder.",4y a a,58,Ç.OK,ANIL KÖSEOĞLU,D.KAYA,2.09.16,15.8
04/10/2024,Bursa,4,2,6,0,"ERMERHAN(1) t 360.000,00 TL KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.",4y k a,58,T.YILDIZ,İ.SUAT KUTLU,M.M.İNAL,2.10.20,6.95
04/10/2024,Bursa,4,2,7,0,"SAADIN HIZI(9) t 300.000,00 TL DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.",4y d a,52 +1.50 Fazla Kilo,O.ATMACA,MURAT YILMAZ,Z.TEMUÇİN,2.10.21,18.65
04/10/2024,Bursa,4,2,8,0,"ŞEHRİTUNCAL(7) t 330.000,00 TL KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.",4y k a,55 +1.90 Fazla Kilo,N.ŞEN,H.TARIK DİKENCİK,M.ÖZGÜL,2.12.52,39.0
04/10/2024,Bursa,4,2,9,0,"YELDA TAY(6) t 360.000,00 TL",4y a k,56,İ.S.SÖĞÜT AP Apranti,İSMET TURAN,Y.KARAKÜÇÜK,2.13.15,14.55
04/10/2024,Bursa,4,2,10,0,"PUSLU DAĞ(5) t 340.000,00 TL KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. GKR Göz koruyucu takılacağını ifade eder.",4y d a,56 +0.20 Fazla Kilo,G.YILDIZ,GÜLBAHAR KIZILDAĞ,İ.KIZILDAĞ,2.14.22,48.45
04/10/2024,Bursa,4,3,1,1,UYGAR BEY(6) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y d a,57,Ç.OK,ERMAN ERDEM,K.ŞENGEL,1.17.23,7.9
04/10/2024,Bursa,4,3,2,0,DILO(7),4y d a,53 +0.40 Fazla Kilo,C.PASO AP Apranti,RAMAZAN YILMAZ,EM.KAYA,1.17.50,22.7
04/10/2024,Bursa,4,3,3,0,CHUMLEE(1) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y d a,59,İ.S.SÖĞÜT AP Apranti,GAMZE YAZICI,S.YARDIMCI,1.17.83,12.25
04/10/2024,Bursa,4,3,4,0,CAFER BEY(3) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,5y k a,60,MAH.TURAN,İSA ÖZKAN,HÜS.KARABULUT,1.17.87,1.45
04/10/2024,Bursa,4,3,5,0,ALWAYS LUCKY(2) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,7y d k,60,N.AVCİ,AYTUĞ ATALAY,MEH.DEMİR,1.18.39,4.1
04/10/2024,Bursa,4,3,6,0,HARD FLOOD(4) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,7y d a,56,E.KADİRLER AP Apranti,SIDDIK KAYA,K.ŞENGEL,1.20.23,7.6
04/10/2024,Bursa,4,3,7,0,PAMUKKALE(5) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,5y a a,54 +0.10 Fazla Kilo,C.ALTUN AP Apranti,AHMET GÖKHAN ERKOÇ,R.COŞKUN,1.20.70,32.85
04/10/2024,Bursa,4,4,1,1,RÜZGARKANAT(10) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y a a,50 +2.00 Fazla Kilo,A.İNCİ,GÖKHAN AKSU,K.ŞENGEL,2.30.83,10.1
04/10/2024,Bursa,4,4,2,0,ÖZKURUŞBEYİ(12) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,4y k a,50 +0.80 Fazla Kilo,S.TIRPAN,MÜHİTTİN ALAK,KEM.ALTIN,2.30.90,2.75
04/10/2024,Bursa,4,4,3,0,KIZIL GEZEGEN(2) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y k a,60,S.ALTAY AP Apranti,MUHANNAD DARAVSHA,D.ALTIN,2.31.36,9.0
04/10/2024,Bursa,4,4,4,0,PRENS CORA(4) KG Kapalı gözlük takılacağını ifade eder.,7y a a,"59,5",H.ÇİZİK,İSMET TURAN,Y.KARAKÜÇÜK,2.31.45,8.55
04/10/2024,Bursa,4,4,5,0,HAZBALIK(1) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y k k,61,İ.S.SÖĞÜT AP Apranti,FATMA NİLGÜN KUTLU,M.M.İNAL,2.31.68,7.15
04/10/2024,Bursa,4,4,6,0,KURT ENGİN(8) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,6y k a,"53,5 +2.00 Fazla Kilo",O.YILDIZ,RECEP GÜLDOĞDU,E.USLU,2.32.02,14.1
04/10/2024,Bursa,4,4,7,0,YELBEĞEN(6) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. GKR Göz koruyucu takılacağını ifade eder.,4y k a,55 +0.80 Fazla Kilo,MER.ÇELİK,BAHADIR YEŞİL,T.ATEŞ,2.32.16,6.85
04/10/2024,Bursa,4,4,8,0,DELİ YILDIRIM(5) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,5y a a,58,N.ŞEN,FERİT SARAK,U.YOĞURTCU,2.32.19,35.2
04/10/2024,Bursa,4,4,9,0,ULUTEKİN(7) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,4y d a,"51,5 +1.50 Fazla Kilo",C.PASO AP Apranti,MÜCAHİT TEMEL,T.KIYAS,2.32.97,8.05
04/10/2024,Bursa,4,4,10,0,EDİTÖR(11) YP Yanak peluşu takılacağını ifade eder.,7y d a,50 +2.00 Fazla Kilo,Z.KARABULUT AP Apranti,KASIM TUMBUL,R.KILIÇ,2.34.51,20.8
04/10/2024,Bursa,4,4,11,0,DOBAR(9) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,6y a a,"52,5 +0.70 Fazla Kilo",O.ATMACA,İLKER YILMAZ,D.KAYA,2.35.11,26.65
04/10/2024,Bursa,4,4,12,0,MAHİNURUM(3) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,5y a k,"57,5",C.ALTUN AP Apranti,FERİT MENGİ,MEH.KAYA,2.35.36,19.25
04/10/2024,Bursa,4,5,1,1,MAYA REÇELİ(6) SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,57,O.YILDIZ,SANEM KAHRAMAN,H.ÇALIŞKAN,1.30.62,1.95
04/10/2024,Bursa,4,5,2,0,DİDİ LAZİ(1) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,54,C.PASO AP Apranti,M.TAŞKIN KÖROĞLU,A.R.AYDIN,1.31.00,19.55
04/10/2024,Bursa,4,5,3,0,EFFECT(3) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y a e,57 +0.30 Fazla Kilo,H.ÇİZİK,ALİ KAYA,T.KIYAS,1.31.88,3.3
04/10/2024,Bursa,4,5,4,0,FIFTY FIFTY(4) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,2y d e,54,C.ALTUN AP Apranti,EMİR KAVÇİN,E.ÇİLEK,1.32.12,4.1
04/10/2024,Bursa,4,5,5,0,ROCKET FIRE(7) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d g,57,T.YILDIZ,İ.SUAT KUTLU,M.M.İNAL,1.32.23,8.6
04/10/2024,Bursa,4,5,6,0,BLACK SEA BEAUTY(8) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder.,2y d d,51 +1.80 Fazla Kilo,E.KADİRLER AP Apranti,M.ALİ BALAK,K.ŞENGEL,1.32.76,45.05
04/10/2024,Bursa,4,5,7,0,GREEN GÖLE(5) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder.,2y d e,57,MER.ÇELİK,BİROL BULUT,M.E.AVCI,1.33.64,14.4
04/10/2024,Bursa,4,5,8,0,DOĞU ASLANI(2) SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y k e,55 +2.00 Fazla Kilo,S.ÇELİK AP Apranti,RECEP KETME,D.KAYA,1.36.99,46.45
04/10/2024,Bursa,4,6,1,1,HÜRDENİZ(5) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y a e,57,B.M.MIRIK,RECEP DİKKULE,Y.AKKILIÇ,1.31.53,4.95
04/10/2024,Bursa,4,6,2,0,SURERTAY(1) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y a e,59 +0.20 Fazla Kilo,O.YILDIZ,ERHAN KAVÇİN,E.GÜN GÜNEŞ,1.32.40,1.9
04/10/2024,Bursa,4,6,3,0,İKİGAİ(6) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y k e,57 +0.20 Fazla Kilo,N.ŞEN,FATMA GÜL ALTIN,M.ÖZGÜL,1.33.05,23.35
04/10/2024,Bursa,4,6,4,0,HAYALİNOĞLU(4) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,3y k e,57 +0.50 Fazla Kilo,M.BAYDAN,AYSEL BAYDAN,İ.H.BAYDAN,1.33.20,30.55
04/10/2024,Bursa,4,6,5,0,UÇAN BALON(11) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y a d,55 +2.00 Fazla Kilo,K.TOKAÇOĞLU,H.TARIK DİKENCİK,M.ÖZGÜL,1.33.23,7.75
04/10/2024,Bursa,4,6,6,0,BAKA BABA(2) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y k e,57,N.AVCİ,SABRİ AVCI,M.E.AVCI,1.34.25,14.25
04/10/2024,Bursa,4,6,7,0,GEMLİKLİ SERKAN(3) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y k e,57,İ.S.SÖĞÜT AP Apranti,HALİT KEKİK,F.KIRAN,1.34.49,6.8
04/10/2024,Bursa,4,6,8,0,SAMİAĞA(9) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y k e,57,H.ÇİZİK,ALİ PAMUKCİ,A.PAMUKCİ,1.35.81,10.5
04/10/2024,Bursa,4,6,9,0,KARYAĞDIRAN(8) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y a e,57,A.İNCİ,HALİT KEKİK,F.KIRAN,1.36.46,6.8
04/10/2024,Bursa,4,6,10,0,İLBERK HAN(7) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder.,3y a e,57,MER.ÇELİK,MUSTAFA İLKADIM,Y.AKKILIÇ,1.40.57,19.05
04/10/2024,Bursa,4,6,11,0,GERÇEK MAVİ(10) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder.,3y a d,55 +1.50 Fazla Kilo,T.YILDIZ,MAHMUT PANDIR,F.SEZER,1.42.00,24.6
04/10/2024,Bursa,4,7,1,1,KURŞUNİLİ(7) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder.,5y k k,56,N.AVCİ,DENİZ KURTEL,H.YÜZBAŞI,2.01.39,4.15
04/10/2024,Bursa,4,7,2,0,TEKÇAREM(4) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,6y a k,60,A.KURŞUN,HİKMET ÖYLÜ,T.BARDAKCI,2.01.43,2.15
04/10/2024,Bursa,4,7,3,0,ADEN PERİSİ(5) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,5y k k,58,H.ÇİZİK,GÜNSEN SOYUPAK,M.U.TURAN,2.01.80,7.7
04/10/2024,Bursa,4,7,4,0,BELKIS ANA(6) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y a k,58,K.TOKAÇOĞLU,TUNCAY PALIT,R.KILIÇ,2.02.06,7.85
04/10/2024,Bursa,4,7,5,0,BÜYÜK YILDIZ(3) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,5y a k,60,MER.ÇELİK,GÖKHAN YILDIZ,MİR.İPEK,2.02.17,3.95
04/10/2024,Bursa,4,7,6,0,NEVESTA(1) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y a k,61,O.YILDIZ,SERKAN ALSANCAK,R.AKDUMAN,2.02.22,11.05
04/10/2024,Bursa,4,7,7,0,BELİNAY HATUN(2) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder. GKR Göz koruyucu takılacağını ifade eder.,5y a k,60,T.YILDIZ,KEZİBAN GÜNDÜZELİ,D.KAYA,2.02.72,29.5
04/10/2024,Bursa,4,8,1,1,DEHLİN(6) DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,53 +1.60 Fazla Kilo,O.YILDIZ,MURAT ÇAĞIMNI,H.R.YEŞİLBUDAK,1.11.59,16.2
04/10/2024,Bursa,4,8,2,0,COLTON(1) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. GKR Göz koruyucu takılacağını ifade eder.,2y d e,57,H.ÇİZİK,KENAN ELALDI,K.ELALDI,1.11.68,2.9
04/10/2024,Bursa,4,8,3,0,ÇERKEZKÖYLÜ(4) SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,54,C.PASO AP Apranti,RAMAZAN YILMAZ,EM.KAYA,1.12.03,9.95
04/10/2024,Bursa,4,8,4,0,KOZLUHAN(3) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder. ÖG Start makinasına önden giriş yapacağını ifade eder.,2y d e,57,T.ALICI,SERKAN UZUN,Y.GÜNDOĞDİ,1.12.59,2.95
04/10/2024,Bursa,4,8,5,0,STRAKHOV(5) SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,54 +1.70 Fazla Kilo,MER.ÇELİK,BÜLENT TAŞÇI,A.ÖZGEN,1.13.41,2.25
04/10/2024,Bursa,4,8,6,0,HASKÖY FIRTINASI(2) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y a e,57,N.AVCİ,YALÇIN TÜRE,MEH.KAYA,1.15.41,19.45
04/10/2024,Bursa,4,9,1,1,TIME MAGIC(7) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y d k,"54,5 +1.10 Fazla Kilo",MER.ÇELİK,EROL ÇEBİ,E.USLU,1.23.40,14.9
04/10/2024,Bursa,4,9,2,0,CATIMINI(8) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,3y d d,"51,5 +1.80 Fazla Kilo",S.ALTAY AP Apranti,FERİT SARAK,G.ŞEN,1.23.47,8.25
04/10/2024,Bursa,4,9,3,0,DREAMLINER(5) DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y k k,56,MAH.TURAN,SEDAT İNAL,M.A.TURAN,1.23.54,2.95
04/10/2024,Bursa,4,9,4,0,RAIN MELODY(1) DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y d k,61,İ.S.SÖĞÜT AP Apranti,SOLAIMAN IRHAIM,E.USLU,1.23.94,10.9
04/10/2024,Bursa,4,9,5,0,SILVER HORSESHOE(10) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y d d,"50,5 +2.00 Fazla Kilo",F.KARAKURT AP Apranti,UMUR ÖZARAR,D.KAYA,1.24.05,31.85
04/10/2024,Bursa,4,9,6,0,ROZERYA(11),4y d k,"51,5 +1.50 Fazla Kilo",C.PASO AP Apranti,RAMAZAN YILMAZ,EM.KAYA,1.24.06,7.7
04/10/2024,Bursa,4,9,7,0,WINTER MY LOVE(3) K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,4y k k,"61,5",N.AVCİ,MESUT YILDIRIM,U.YOĞURTCU,1.24.19,7.65
04/10/2024,Bursa,4,9,8,0,TIROL HOPE(2) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y d k,62,T.YILDIZ,BURCU KUTLU,M.M.İNAL,1.24.52,22.6
04/10/2024,Bursa,4,9,9,0,PRENSES ARYA(9) K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,4y d k,53 +1.20 Fazla Kilo,G.YILDIZ,OKTAY KARAKÖSEOĞLU,R.COŞKUN,1.24.55,19.95
04/10/2024,Bursa,4,9,10,0,MOYA AZRA(6) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,4y d k,"52,5",E.KADİRLER AP Apranti,SELİM ACARİŞ,E.TURAN,1.24.58,10.0
04/10/2024,Bursa,4,9,11,0,LOVESUN(4) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,3y d d,"56,5",S.TIRPAN,VOLKAN YOZGATLI,Y.GÜNDOĞDİ,1.25.49,4.8
04/10/2024,Bursa,4,9,12,0,DİLBER(12) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder. GKR Göz koruyucu takılacağını ifade eder.,5y d k,50 +1.90 Fazla Kilo,Z.KARABULUT AP Apranti,ONUR TÜRKER,M.ÖZGÜL,1.28.09,47.2
04/10/2024,İstanbul,1,1,1,1,TUTKUNLAR(9) KG Kapalı gözlük takılacağını ifade eder.,3y a e,57,F.S.M.SANSAR AP Apranti,KÜRŞAT OĞUZHAN ÇİFTÇİ,MÜC.KAYA,1.18.13,23.55
04/10/2024,İstanbul,1,1,2,0,AŞKINOĞLU(1) KG Kapalı gözlük takılacağını ifade eder.,3y k e,57,A.YILDIZ,TANER TEMELKURAN,Y.DEMİRKIRAN,1.19.56,3.85
04/10/2024,İstanbul,1,1,3,0,RAVENCO(5) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y a e,57,A.ÇELİK,DORUK SÖKMEN,HAMZ.KAYA,1.19.78,2.9
04/10/2024,İstanbul,1,1,4,0,DOĞANIN GÜCÜ(3) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder.,3y d e,57,B.ÇIĞLA AP Apranti,CEM NARİN,S.DURGUÇ,1.20.20,35.9
04/10/2024,İstanbul,1,1,5,0,GÜLBEN HANIM(10) SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y a d,55,MÜS.ÇELİK,ELİF AKIN,A.KURT,1.20.34,12.2
04/10/2024,İstanbul,1,1,6,0,TUNÇBERK(8) K Kulaklık takılacağını ifade eder.,3y k e,57 +0.20 Fazla Kilo,M.AKYAVUZ,F.SEDAT DAĞYUDAN,M.KORKMAZ,1.20.42,2.6
04/10/2024,İstanbul,1,1,7,0,ROJ SEMEND(6) KG Kapalı gözlük takılacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y k e,57 +0.20 Fazla Kilo,K.GÖKÇE AP Apranti,ALİ PASO,HAMZ.KAYA,1.21.92,51.4
04/10/2024,İstanbul,1,1,8,0,SABIRLITAY(11) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y k d,55,M.A.AKGÖBEK AP Apranti,MÜSLÜM ŞİMŞEK,SEN.ŞEN,1.22.06,64.35
04/10/2024,İstanbul,1,1,9,0,TEPEBAŞI(7) SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,3y k e,57,O.ÖZTÜRK,NİMET ARİF KURTEL,B.ŞANDAN,1.22.24,25.15
04/10/2024,İstanbul,1,1,10,0,GÖK YELE(4),3y a e,57 +0.70 Fazla Kilo,M.KAYA,RAMAZAN YILMAZ,Z.KAYA,1.22.53,10.35
